TRAM,Rang,geometry_wkt
T15812B,25-30 µg/m³,"MULTILINESTRING ((2.1670352426956234 41.36957864214708, 2.1671916038777312 41.36962026191886, 2.167327390793442 41.369680333311976, 2.167469016562402 41.36973825792001, 2.167562960864297 41.369776147203886, 2.1675915843706455 41.369809186618824, 2.1675867445082004 41.36984745173806))"
T08289L,15-20 µg/m³,"MULTILINESTRING ((2.1645633373660536 41.40648959957838, 2.163998943212292 41.407003479054296))"
T09386P,20-25 µg/m³,"MULTILINESTRING ((2.1994528980625594 41.410953221554315, 2.1990340270983713 41.411269426182514))"
T09155C,20-25 µg/m³,"MULTILINESTRING ((2.2005679543996 41.40158933706951, 2.201115092388071 41.4019899330557))"
T06296C,20-25 µg/m³,"MULTILINESTRING ((2.18614641386504 41.43458098856255, 2.185602359400856 41.434867974216516))"
T03163E,25-30 µg/m³,"MULTILINESTRING ((2.136052172213374 41.377630514867036, 2.1358400659303136 41.37809747695744))"
T09255F,20-25 µg/m³,"MULTILINESTRING ((2.206194677171866 41.405848982773826, 2.2073629221448954 41.40670896910116))"
T08817N,20-25 µg/m³,"MULTILINESTRING ((2.192443070666169 41.40960419433343, 2.1919879665155184 41.40994769114974))"
T10101J,20-25 µg/m³,"MULTILINESTRING ((2.2022867852896555 41.39770158004925, 2.202858493757012 41.39812298339944))"
T08632G,20-25 µg/m³,"MULTILINESTRING ((2.1395653131863583 41.416229607324965, 2.138650037415942 41.41688767947323))"
T09652O,20-25 µg/m³,"MULTILINESTRING ((2.197534423151381 41.416674459540246, 2.1963908632687876 41.41754588498364))"
T03020Q,25-30 µg/m³,"MULTILINESTRING ((2.1429406213998043 41.36909767965062, 2.1419345723378513 41.368350542513305))"
T12919Z,25-30 µg/m³,"MULTILINESTRING ((2.188782330219819 41.45137627930609, 2.187950958847093 41.45174348792432))"
T00954P,25-30 µg/m³,"MULTILINESTRING ((2.1726126623577917 41.38340270944149, 2.172460198857801 41.38360187833474, 2.1723350614202857 41.383756791260616, 2.1722268096702013 41.38389197282895))"
T17527H,20-25 µg/m³,"MULTILINESTRING ((2.187550910359598 41.44014704678037, 2.187050352738727 41.44030911532389))"
T16362A,25-30 µg/m³,"MULTILINESTRING ((2.183674036718226 41.42938779020233, 2.182997793739075 41.43019029642833))"
T11026T,15-20 µg/m³,"MULTILINESTRING ((2.1310557639998495 41.403324946235124, 2.130599622053096 41.403914096526606))"
T01155W,25-30 µg/m³,"MULTILINESTRING ((2.167152597112145 41.37902202598578, 2.16733940873295 41.378870032595735, 2.16761351971817 41.378660796521075, 2.167832285834187 41.37850955572067))"
T17230T,25-30 µg/m³,"MULTILINESTRING ((2.166854007158706 41.37278340556958, 2.1667471096671527 41.372778254498066, 2.1660377445463155 41.37157426041048))"
T01946T,20-25 µg/m³,"MULTILINESTRING ((2.1511042833804486 41.38860011817356, 2.152247967749564 41.387741660201385))"
T07889Z,20-25 µg/m³,"MULTILINESTRING ((2.1526501007511216 41.40242633311073, 2.1525168708321663 41.40264522555683, 2.1524932328318536 41.4026764336884))"
T10349F,20-25 µg/m³,"MULTILINESTRING ((2.1518947359808394 41.39757558437862, 2.152901867357555 41.39822341322089))"
T04856E,20-25 µg/m³,"MULTILINESTRING ((2.1546704836376227 41.4243907614974, 2.155188430526659 41.42380398879024))"
T01430W,20-25 µg/m³,"MULTILINESTRING ((2.1676041298020907 41.38302440992906, 2.1675042438195105 41.38321476459407))"
T17265E,25-30 µg/m³,"MULTILINESTRING ((2.1835147490186637 41.38440815430793, 2.18351788954445 41.38436358028334, 2.183804845860577 41.38425350672068))"
T02561K,20-25 µg/m³,"MULTILINESTRING ((2.172147809438675 41.40785978813969, 2.173241545122586 41.408664890622795))"
T04729Y,20-25 µg/m³,"MULTILINESTRING ((2.162521374190363 41.42912109807236, 2.162400802007452 41.429249108684246))"
T01633F,25-30 µg/m³,"MULTILINESTRING ((2.1790737100648525 41.37848297784067, 2.1795794726221938 41.37830141406401, 2.1797484777258282 41.378236475582874))"
T17606F,20-25 µg/m³,"MULTILINESTRING ((2.195277613632884 41.427251197201954, 2.1939399103698034 41.427873380687764))"
T09207X,20-25 µg/m³,"MULTILINESTRING ((2.200219066958784 41.403988964692566, 2.200548653764246 41.404368839023206, 2.200808284561839 41.404628183863935, 2.200954188096929 41.404752797392604))"
