TRAM,Rang,geometry_wkt
T10285G,20-25 µg/m³,"MULTILINESTRING ((2.2030037257454356 41.42857054946626, 2.203534748755139 41.42922148275133))"
T12349N,20-25 µg/m³,"MULTILINESTRING ((2.1768763818425976 41.43903941249589, 2.1769432782207976 41.43907861376339, 2.1773747711014155 41.43957973737027))"
T03143A,25-30 µg/m³,"MULTILINESTRING ((2.132399239439308 41.380832762208705, 2.132601263534852 41.380368388029986))"
T15616Z,25-30 µg/m³,"MULTILINESTRING ((2.1905126451585217 41.37939823946109, 2.190763286864733 41.37878876717403))"
T02559Q,20-25 µg/m³,"MULTILINESTRING ((2.169781748808378 41.40606800631911, 2.171077455044859 41.40704617831703))"
T00593K,20-25 µg/m³,"MULTILINESTRING ((2.180887721725835 41.383582153340306, 2.1811148286277535 41.38356297912198, 2.1813083432900355 41.38354355663668, 2.18144768133925 41.383536413339684, 2.18153551263322 41.38353560541693))"
T10209U,20-25 µg/m³,"MULTILINESTRING ((2.1904340615884936 41.39904383208722, 2.191545642862872 41.39986048905751))"
T16601W,25-30 µg/m³,"MULTILINESTRING ((2.181985728660982 41.38591746811292, 2.1820580670625147 41.38597934123047))"
T04629V,20-25 µg/m³,"MULTILINESTRING ((2.162445203803432 41.42331826111335, 2.162685843934346 41.42326660611034, 2.16323953152155 41.42317857506566, 2.1634550865360396 41.42309339950398, 2.163825848383855 41.422876103348116))"
T16398M,20-25 µg/m³,"MULTILINESTRING ((2.194453625723334 41.3874175042667, 2.194176055127549 41.38763285995314))"
T09416E,20-25 µg/m³,"MULTILINESTRING ((2.2092353740712976 41.41037576305812, 2.209006423761371 41.41055182744188))"
T03368P,20-25 µg/m³,"MULTILINESTRING ((2.129952774448667 41.37695567850564, 2.1294717230544826 41.3768482672417))"
T16539H,<=15 µg/m³,"MULTILINESTRING ((2.0990399703530453 41.425366733209366, 2.099260794223295 41.42543000896696, 2.099657531106145 41.42558415810066, 2.0997108233613995 41.425566758127815))"
T20829V,25-30 µg/m³,"MULTILINESTRING ((2.1146810416419908 41.400691703029025, 2.1147795403749923 41.400797001221726, 2.115932336333268 41.4019112478574, 2.116003502808772 41.401970622140944))"
T14618X,25-30 µg/m³,"MULTILINESTRING ((2.1477237955890875 41.37209948777539, 2.1473931797383363 41.37191316055308))"
T20480M,20-25 µg/m³,"MULTILINESTRING ((2.1154010422968907 41.376581587337945, 2.1141146175475005 41.376101514277295, 2.1136321916063414 41.3759823525141))"
T18094H,20-25 µg/m³,"MULTILINESTRING ((2.1788465389360376 41.432755641973834, 2.1786051640810062 41.432836284379654, 2.178450457479748 41.43290061972947, 2.1783439010019015 41.432945049743346, 2.178311229318688 41.4330093640079))"
T11824P,<=15 µg/m³,"MULTILINESTRING ((2.1005068415932557 41.42860296654146, 2.1004032371902572 41.42864870747489, 2.100259890955728 41.42862733855875, 2.1001515368014445 41.42864692957729, 2.1000529748494494 41.428695835188094, 2.099989579494329 41.428770434629875, 2.0999816930921433 41.428865779773076, 2.100003005323465 41.428920630545086, 2.1000593450079124 41.429013883615575, 2.1000823973801976 41.429064928820345, 2.1000514625597377 41.42910981427416))"
T02206U,20-25 µg/m³,"MULTILINESTRING ((2.153950474280954 41.394163828711406, 2.153412560477252 41.39457562573964, 2.1531722598882674 41.394926007279906))"
T06041H,20-25 µg/m³,"MULTILINESTRING ((2.1893252403807724 41.4318858285785, 2.1892924478698768 41.43218124056077))"
T18317D,20-25 µg/m³,"MULTILINESTRING ((2.20654202651702 41.41289037764869, 2.2070386098731585 41.41322008591361))"
T04195Q,25-30 µg/m³,"MULTILINESTRING ((2.167732901280144 41.374959479715905, 2.167766080821213 41.37484624248376, 2.1676542811547335 41.3745197127481))"
T10661K,15-20 µg/m³,"MULTILINESTRING ((2.1373895525788265 41.399272936812885, 2.1387264604493286 41.39927365772696))"
T07110H,20-25 µg/m³,"MULTILINESTRING ((2.1265928278092217 41.390445544429845, 2.126391913143137 41.39089379207674))"
T18831Q,30-35 µg/m³,"MULTILINESTRING ((2.148708580150792 41.37472878519452, 2.148564471480729 41.37483065793747, 2.1484612623412893 41.37497452881987, 2.1484534948542287 41.375161296689946))"
T16193B,20-25 µg/m³,"MULTILINESTRING ((2.1445836902301076 41.424913329972696, 2.1446920801243134 41.42515327425456, 2.1448607913357645 41.42546043875789, 2.145003397732292 41.425820940467055, 2.145049082872294 41.42621132064017, 2.145040099579109 41.42650951784964, 2.1450679273934257 41.426921049981914))"
T14967P,15-20 µg/m³,"MULTILINESTRING ((2.1220381499503764 41.40409189399961, 2.122422790816591 41.40434731503671))"
T11064Z,20-25 µg/m³,"MULTILINESTRING ((2.137377560578026 41.4013455884126, 2.13738893931837 41.40214934908604, 2.1374126508338316 41.4023385309016))"
T12129D,20-25 µg/m³,"MULTILINESTRING ((2.1772717618320168 41.42817890552551, 2.1772996774003333 41.428680307265196))"
T21446O,20-25 µg/m³,"MULTILINESTRING ((2.140050331191449 41.369722757511624, 2.1394642347347577 41.36918225950675))"
T17931P,20-25 µg/m³,"MULTILINESTRING ((2.1643855668248424 41.4212687486741, 2.164278644415799 41.42125842471701, 2.164118828128785 41.421458293311176))"
T13270L,20-25 µg/m³,"MULTILINESTRING ((2.209608802892 41.41521471245685, 2.2091251895226085 41.414844246442584))"
T01578P,25-30 µg/m³,"MULTILINESTRING ((2.177234323899729 41.380919351768874, 2.1772826550676383 41.380977012013346))"
T21240C,25-30 µg/m³,"MULTILINESTRING ((2.1424084753609547 41.37867452982027, 2.1418103092265572 41.379243799106504))"
T04459V,20-25 µg/m³,"MULTILINESTRING ((2.170713946378084 41.418085440389554, 2.1699592572149085 41.41833139199725))"
T03503E,25-30 µg/m³,"MULTILINESTRING ((2.1566730212322414 41.373484390400264, 2.156698411773951 41.372968930617795))"
T06010A,20-25 µg/m³,"MULTILINESTRING ((2.1861945315522804 41.43187736181097, 2.1857883939959604 41.43191402415195, 2.185713047642353 41.4318845683396))"
T19926A,20-25 µg/m³,"MULTILINESTRING ((2.171249491844163 41.41350527247166, 2.1706998524945584 41.41392606292516))"
T13401E,20-25 µg/m³,"MULTILINESTRING ((2.189090222072669 41.393127851294516, 2.1903180418463624 41.393940412084184))"
T10743L,20-25 µg/m³,"MULTILINESTRING ((2.1229023047921007 41.396311063825834, 2.123018761326658 41.39625460012694, 2.123241860129144 41.39619368799293, 2.1240194858696593 41.39603480532988, 2.1251411274177423 41.3957856193545))"
T16294F,15-20 µg/m³,"MULTILINESTRING ((2.184013492383198 41.465443096960115, 2.184249081344903 41.46536318653245, 2.184403962464143 41.46528205531426, 2.1845607905444897 41.46520702668473, 2.184687462471742 41.46511503048759, 2.184783349372146 41.46505631470074, 2.184894750512642 41.465052536779496, 2.185013738524294 41.46508840903001, 2.1850576903353387 41.465135928007086, 2.18507184402363 41.46518095715547))"
T08886A,20-25 µg/m³,"MULTILINESTRING ((2.183833599608643 41.41241278288692, 2.1845480502927144 41.41334059895556))"
T11263E,15-20 µg/m³,"MULTILINESTRING ((2.1432726361150753 41.40702802847126, 2.143658117589871 41.40732735038328))"
T00551A,25-30 µg/m³,"MULTILINESTRING ((2.1809318168989162 41.384062937749846, 2.181060370181358 41.3842702776218))"
T08328B,20-25 µg/m³,"MULTILINESTRING ((2.1427722971574723 41.41482996978894, 2.1428994461827293 41.414633913917825, 2.143020633941823 41.414366014954446, 2.143037243302121 41.414138159408225, 2.1430230821934764 41.41390448118931, 2.142952739063973 41.413009803551724, 2.1429676997412828 41.412818181774924, 2.142969995605169 41.41264338176221, 2.1429764234424806 41.41256939715695))"
T04430I,20-25 µg/m³,"MULTILINESTRING ((2.176789137368416 41.42028306609667, 2.1755520161772566 41.419562749959574))"
T09497V,20-25 µg/m³,"MULTILINESTRING ((2.2119140309122707 41.41517856673867, 2.2130607019133315 41.41600789236299))"
T00345W,20-25 µg/m³,"MULTILINESTRING ((2.180345785691498 41.38097424615528, 2.180755607536003 41.381426449244735))"
T05856I,20-25 µg/m³,"MULTILINESTRING ((2.1888522276660693 41.423331816223076, 2.1888277476136504 41.42398004675398))"
T04923Y,20-25 µg/m³,"MULTILINESTRING ((2.155342907694181 41.42072155122394, 2.1556163029798587 41.42047340112595, 2.156316286752778 41.41985557586327, 2.156332851431998 41.41975540806713))"
T01577O,25-30 µg/m³,"MULTILINESTRING ((2.1761119929582176 41.38147441573377, 2.1758702002485473 41.38128640979637))"
T18238F,20-25 µg/m³,"MULTILINESTRING ((2.196147768679717 41.39119862369729, 2.1959383146923535 41.391355063324184))"
T02948Z,25-30 µg/m³,"MULTILINESTRING ((2.1441455067130226 41.373207467506134, 2.144154438918322 41.37375893028379))"
T05027F,20-25 µg/m³,"MULTILINESTRING ((2.1622547056697803 41.41621796933363, 2.162031714073427 41.41625867279832))"
T05059N,20-25 µg/m³,"MULTILINESTRING ((2.163487005038236 41.41345458875332, 2.1638955224127816 41.4136630526092))"
RL0008H,35-40 µg/m³,"MULTILINESTRING ((2.193657997593679 41.385845774917094, 2.193626104802854 41.385821378903046, 2.193475212718041 41.38571106084453, 2.19339259105183 41.38565103245327, 2.193323127452641 41.38560055407844, 2.193253781321023 41.38555025663868, 2.1931487185440064 41.385477009934746, 2.193041485545153 41.3854051891317, 2.192944451964194 41.38534037550865, 2.1928471727154712 41.385276100533254, 2.1927785876355883 41.38523202333469, 2.192745600616578 41.38521080455474, 2.1926425735885564 41.38514711964124, 2.1925753693219767 41.385107465694546, 2.1925341685075885 41.385083126696216, 2.192424314076932 41.38502029447131, 2.192334514780011 41.38497021334291, 2.192313727831003 41.38495862798351, 2.192201564840812 41.38489875183848, 2.1920818845629504 41.38483747171253, 2.1919618446276266 41.384776279013415, 2.191866167154663 41.38472768755331, 2.191798171587935 41.384694062650716, 2.1917702372710357 41.384680175149285, 2.1916834268059104 41.384639932699095, 2.1915955390202733 41.38459977269968, 2.1914955305584383 41.384552407394025))"
T08712F,20-25 µg/m³,"MULTILINESTRING ((2.1482935278238884 41.41687930421703, 2.1488620341150795 41.417895281471495))"
T19432J,20-25 µg/m³,"MULTILINESTRING ((2.176789137368416 41.42028306609667, 2.1769005243050152 41.420410003108444, 2.1770632412920286 41.42119585237349))"
T09038Y,20-25 µg/m³,"MULTILINESTRING ((2.1889555213170833 41.409620756530956, 2.1891266025780314 41.41005898703741))"
T18744S,25-30 µg/m³,"MULTILINESTRING ((2.1722268096702013 41.38389197282895, 2.1723926786790444 41.38395639786596))"
T08777W,20-25 µg/m³,"MULTILINESTRING ((2.193565653024343 41.415398888672655, 2.1946991769875295 41.41626163247589))"
T16784S,25-30 µg/m³,"MULTILINESTRING ((2.1152401894280564 41.33353719180263, 2.114857152343973 41.33292366022246))"
T08214S,20-25 µg/m³,"MULTILINESTRING ((2.162523657135058 41.40232912808434, 2.163016484947126 41.40267060067775))"
T09273H,20-25 µg/m³,"MULTILINESTRING ((2.2067021457638707 41.40546755319869, 2.206194677171866 41.405848982773826))"
T20944X,20-25 µg/m³,"MULTILINESTRING ((2.178823164876167 41.44708969919087, 2.1789084283265616 41.4474401560781))"
T08284G,20-25 µg/m³,"MULTILINESTRING ((2.1630078922233062 41.40719574122735, 2.162362021419748 41.40783402622738))"
T03445L,25-30 µg/m³,"MULTILINESTRING ((2.1383888635077604 41.3731254659187, 2.1386769442591276 41.37261636219464))"
T15866P,25-30 µg/m³,"MULTILINESTRING ((2.1451809508279456 41.35476769121699, 2.146104938785377 41.355220231022244, 2.146334082527961 41.35542739231565))"
T12046B,20-25 µg/m³,"MULTILINESTRING ((2.181433243519211 41.44177722468664, 2.1812104323139523 41.44194047650925))"
T09949C,20-25 µg/m³,"MULTILINESTRING ((2.1983007649926005 41.39643892290135, 2.1994590624186277 41.39729590355447))"
T21215B,20-25 µg/m³,"MULTILINESTRING ((2.1513036913073353 41.42627330477192, 2.1508681230681743 41.426189089132265))"
T05150H,20-25 µg/m³,"MULTILINESTRING ((2.1601985976834124 41.42503897696068, 2.1598128622475996 41.42495260952538))"
T17341Z,20-25 µg/m³,"MULTILINESTRING ((2.1449050785480464 41.41341191102696, 2.1449145306137023 41.4133553422144))"
T00183W,25-30 µg/m³,"MULTILINESTRING ((2.190229983222669 41.38109127318086, 2.1904004325690476 41.38112762801694))"
T08599W,15-20 µg/m³,"MULTILINESTRING ((2.146910909686663 41.413154611108446, 2.1470449960050724 41.41327425098077, 2.147210060907438 41.413529394426504, 2.1473744817796283 41.41365994144756, 2.1475749233049792 41.413723306931324, 2.147890311935964 41.41377329099474, 2.148053379032766 41.41382439009325, 2.1481797517970054 41.41389815053097, 2.1482212319246785 41.41398736118812, 2.1481643287995222 41.41412816843138, 2.148081699854209 41.41432028103734))"
T19555T,25-30 µg/m³,"MULTILINESTRING ((2.162632923421554 41.37103206117883, 2.162532147296003 41.37077623465198, 2.1617994211684106 41.37022202001939))"
T04782D,20-25 µg/m³,"MULTILINESTRING ((2.1804390143548185 41.420171964782114, 2.1799271128922086 41.42071421805146))"
T05745C,20-25 µg/m³,"MULTILINESTRING ((2.1820465533886777 41.42239394748155, 2.182210958012121 41.423333045452445))"
T02997I,25-30 µg/m³,"MULTILINESTRING ((2.139621371039451 41.37094641658, 2.139742909051156 41.37100169405667, 2.1401861940475273 41.37071942053059))"
T21547S,20-25 µg/m³,"MULTILINESTRING ((2.167892914560459 41.437710072186825, 2.1680359166037286 41.43861624582086))"
T15711X,20-25 µg/m³,"MULTILINESTRING ((2.1768167155991125 41.386609703482435, 2.176883531615268 41.38652957273303, 2.17685991065808 41.38651242470462, 2.176971950255763 41.38640559457098))"
T12261G,20-25 µg/m³,"MULTILINESTRING ((2.1654614047329357 41.42823408889822, 2.166093140630948 41.4286204384078))"
LRD0003,25-30 µg/m³,"MULTILINESTRING ((2.1610969664623774 41.44026522695799, 2.1606037271979464 41.44011767853852, 2.1600606718883193 41.43998684075302, 2.159057416927597 41.4398380001799, 2.1584879258199963 41.439746000985785, 2.1578834523566126 41.43963136197732))"
T16788W,25-30 µg/m³,"MULTILINESTRING ((2.1136787025683716 41.3282963504202, 2.1133854187670655 41.32792779922554, 2.113289344766383 41.32783334458713))"
T20418G,20-25 µg/m³,"MULTILINESTRING ((2.1534001974647627 41.404748181585695, 2.153722640220558 41.40444672917648, 2.154203141346261 41.40476585519895, 2.154216476600484 41.404823429958356))"
T08308X,20-25 µg/m³,"MULTILINESTRING ((2.1643923113293555 41.40812865872364, 2.1638344430662855 41.40862595674939))"
T12313B,20-25 µg/m³,"MULTILINESTRING ((2.1743599288042224 41.43031046640106, 2.1740051283250272 41.430311128202))"
T17511Z,20-25 µg/m³,"MULTILINESTRING ((2.1319107460040962 41.38672097013537, 2.132162153916424 41.38646173733287))"
T03091F,25-30 µg/m³,"MULTILINESTRING ((2.132177330270571 41.37650727058056, 2.1327908502422335 41.376653301657726))"
T06863L,20-25 µg/m³,"MULTILINESTRING ((2.179204589349492 41.42786023521748, 2.1789376995880576 41.42790141497891))"
T00935M,20-25 µg/m³,"MULTILINESTRING ((2.173236201438731 41.385504041427765, 2.1723863441628253 41.38612709447665))"
T05488E,20-25 µg/m³,"MULTILINESTRING ((2.138576617638503 41.42333121210524, 2.138354983307639 41.423557919755616, 2.138196898538866 41.42367554494669, 2.1380000675667428 41.423813678054394, 2.137796554947271 41.423951139268596))"
T14192S,20-25 µg/m³,"MULTILINESTRING ((2.2115107201827993 41.40181152709491, 2.210323475785668 41.402730570804884))"
T00591I,20-25 µg/m³,"MULTILINESTRING ((2.18041815231123 41.38365948383652, 2.180660945618252 41.38361975887494))"
T07550B,20-25 µg/m³,"MULTILINESTRING ((2.1045686831845427 41.38855350870413, 2.1044563080167933 41.38860875150969, 2.1044011721035942 41.38869399303167))"
T20254E,25-30 µg/m³,"MULTILINESTRING ((2.137125012278103 41.39076893575154, 2.1365482982241346 41.39063738164237))"
T09804M,20-25 µg/m³,"MULTILINESTRING ((2.213416485051301 41.41938132229294, 2.2132443507153354 41.41951703305219, 2.213218293126154 41.41964955329894))"
T03054A,25-30 µg/m³,"MULTILINESTRING ((2.1314528284830874 41.375477688338684, 2.130463676261024 41.37549155342663))"
T17182C,20-25 µg/m³,"MULTILINESTRING ((2.1759234963333283 41.41069454307118, 2.175479817108766 41.411013636782066))"
T18710I,20-25 µg/m³,"MULTILINESTRING ((2.126673918867363 41.39653178939384, 2.1268734797424607 41.39666273151257, 2.126687177190937 41.396814067786316))"
T16952Q,15-20 µg/m³,"MULTILINESTRING ((2.109480008621552 41.40195192452528, 2.1093071440843647 41.40195516323307, 2.109097714674279 41.40197369270396, 2.1089275104627463 41.40196870957869, 2.1086882436921712 41.40203462094182, 2.1085003421920043 41.4020789512655, 2.1084078241122906 41.4020855579726))"
T07776R,20-25 µg/m³,"MULTILINESTRING ((2.1593071244222335 41.401621272277225, 2.158905461691966 41.401996356691164))"
T21395U,20-25 µg/m³,"MULTILINESTRING ((2.206697512952373 41.43774142684686, 2.2069647757306194 41.437768903248546))"
T12645S,20-25 µg/m³,"MULTILINESTRING ((2.1669316777561223 41.43557073372257, 2.1674080763269608 41.4354513182681))"
T20493R,20-25 µg/m³,"MULTILINESTRING ((2.1710756429739266 41.428143344309724, 2.170815344226989 41.42821065628618))"
T21489Z,20-25 µg/m³,"MULTILINESTRING ((2.2093380810131933 41.42486339213472, 2.209257037024129 41.42518229477619, 2.2090927796194064 41.42534938123937))"
T02367K,20-25 µg/m³,"MULTILINESTRING ((2.1700851354760355 41.38794902264826, 2.17229927445976 41.388797884127264))"
T17938W,25-30 µg/m³,"MULTILINESTRING ((2.170188894498445 41.38156798213761, 2.1701484602017715 41.381564159814765, 2.169921170831704 41.38144175771118, 2.1698171104907122 41.38154535984453, 2.1697660501143514 41.38152037414914))"
T10590M,15-20 µg/m³,"MULTILINESTRING ((2.1292063654462723 41.39605384514952, 2.130083469448472 41.396626235843335))"
T11671Q,15-20 µg/m³,"MULTILINESTRING ((2.106926740902805 41.408275817725034, 2.1072983577198285 41.4083332578584, 2.107519715753624 41.40837748918023, 2.107678743494545 41.40847393975133, 2.107819420924428 41.408645460302, 2.1080077770455055 41.408949183419054, 2.108014868390039 41.40906236319179, 2.1079560425860424 41.40934393136821))"
T11210R,15-20 µg/m³,"MULTILINESTRING ((2.1381052523914903 41.40446499009456, 2.1373845537868768 41.4048285307743))"
T07953Q,15-20 µg/m³,"MULTILINESTRING ((2.1600522268786317 41.403462041466184, 2.1595133816057333 41.40391061006867))"
T09434G,20-25 µg/m³,"MULTILINESTRING ((2.2085222957163904 41.412637033107494, 2.2096326564359914 41.413497291378036))"
T03581S,25-30 µg/m³,"MULTILINESTRING ((2.158631911662342 41.37217468206048, 2.1587048363731 41.37210453262815, 2.1581047838508303 41.371588555010106, 2.157725148513533 41.371270641094014))"
T07648K,20-25 µg/m³,"MULTILINESTRING ((2.1149427094575803 41.37736087336862, 2.115544063405058 41.377685116648976, 2.116252439736504 41.37804317272796))"
RD0066N,35-40 µg/m³,"MULTILINESTRING ((2.1406981234321893 41.421716564751684, 2.140726568708444 41.42177357515177, 2.1407869087481344 41.421906536162936))"
T10411U,20-25 µg/m³,"MULTILINESTRING ((2.148175799693399 41.398128612451764, 2.1477210135951155 41.398570848216146))"
T10658P,15-20 µg/m³,"MULTILINESTRING ((2.138728536033407 41.39858134807036, 2.140142036146852 41.39859766789344))"
T03230Y,25-30 µg/m³,"MULTILINESTRING ((2.137188272786802 41.38070589731811, 2.138448402761319 41.38119003762526))"
T17409C,15-20 µg/m³,"MULTILINESTRING ((2.1803637797486934 41.45675091142908, 2.18028659698883 41.456712125387085, 2.180199359982938 41.456735887281084, 2.1799061899617773 41.45687223424455, 2.179800095707724 41.456917785559504, 2.179712169084428 41.45692971542697, 2.1795872882100835 41.45690111871459, 2.179502172244344 41.456836280198424, 2.1793979106050743 41.45673631132227, 2.179339027332749 41.456524226218335, 2.1793319060608516 41.45639187446409, 2.179377867170993 41.45623344630875, 2.1794054912438368 41.45613442647724, 2.1793975367948293 41.456068219278706, 2.1793013261048184 41.45602784674495, 2.1791693583568694 41.45603351733005, 2.178984474864413 41.456052042299724, 2.178914472214343 41.456025088247934, 2.178837099328858 41.45588562393163, 2.1787432236827207 41.45566004798401, 2.178745474641821 41.45548146488812, 2.1786858442415418 41.45532890413243, 2.1785904689573825 41.45522238645511, 2.1785211346019002 41.45514250931856, 2.1785133478557563 41.45506308035052, 2.1786202618068087 41.45495138554218, 2.1790192302297537 41.45468963836661, 2.179046854153664 41.45459061859365, 2.1790387335318577 41.45453764207362, 2.178802523546167 41.45444335206482, 2.1785133879579415 41.45436190681862, 2.1783648497651606 41.4542880848316, 2.1783313448263972 41.45415555367341, 2.1783323457675317 41.45407617839283, 2.178377306698095 41.453997125864284, 2.178404514389249 41.45393116951812, 2.178343980684309 41.45385136407441, 2.1781515673811414 41.45377060819923, 2.178046228002542 41.453756624244186, 2.177870733968644 41.45372891632156, 2.177783398402111 41.453681985433356, 2.177722436367533 41.453635251863844, 2.1776969810048117 41.45356230807127, 2.1776978157308107 41.45349616350904, 2.1778134440439283 41.4533911521196, 2.178213323565385 41.45305665218285, 2.1779313690017355 41.45295412530831))"
T19145F,20-25 µg/m³,"MULTILINESTRING ((2.1243282266558916 41.37916754759671, 2.12394155252913 41.37963238517391))"
T13683C,20-25 µg/m³,"MULTILINESTRING ((2.206991381370216 41.399431874013295, 2.2071760999505163 41.39958050888113))"
T00276A,20-25 µg/m³,"MULTILINESTRING ((2.1847737705248607 41.38260530767902, 2.185663848677655 41.38217910836327))"
T00460Y,25-30 µg/m³,"MULTILINESTRING ((2.1829934314232893 41.38405282089248, 2.183072025716264 41.38419391398164))"
T11637O,15-20 µg/m³,"MULTILINESTRING ((2.1308892329137272 41.416343214127956, 2.1307909427026663 41.41647185540781, 2.130421681217307 41.416614204441366, 2.1301339515208837 41.41668942313238, 2.129881619136988 41.41677878912159, 2.129771266319952 41.416798753340146, 2.12964482631107 41.41680921907182, 2.129490547626091 41.41676542037923, 2.1294073797446305 41.41667968899382, 2.1293560396354763 41.416506213289765))"
T18294N,20-25 µg/m³,"MULTILINESTRING ((2.2014799360323636 41.42563281550745, 2.2020375380114174 41.42605960915582))"
T09223X,20-25 µg/m³,"MULTILINESTRING ((2.2061529039347776 41.40058841742412, 2.205659526267109 41.40089617964642))"
T02481L,20-25 µg/m³,"MULTILINESTRING ((2.1460263255726226 41.379669391844764, 2.1443526864203455 41.380921751215254))"
T19404F,20-25 µg/m³,"MULTILINESTRING ((2.21338127645165 41.41070353286273, 2.2140284140001842 41.41118776331543, 2.214338166507791 41.41095682613601))"
T15292Z,25-30 µg/m³,"MULTILINESTRING ((2.179787676627949 41.40209315884668, 2.1789451868207745 41.40273532556718))"
T16657M,20-25 µg/m³,"MULTILINESTRING ((2.197367200479597 41.43971076981445, 2.1974851890936153 41.439986067342986, 2.197615377194147 41.440449975695664, 2.1977406312752596 41.441007590012696, 2.1977553214361745 41.441228194730364))"
T13473U,15-20 µg/m³,"MULTILINESTRING ((2.1366350561800678 41.41883954592748, 2.136247298662021 41.418896582296384, 2.1359935358889524 41.41900086729082, 2.135993595531341 41.418996364005665))"
T08532D,20-25 µg/m³,"MULTILINESTRING ((2.155217770042386 41.412158613984644, 2.1550482070990213 41.41226346890827, 2.154925543699181 41.41237134302705, 2.1548027251884667 41.41252256887597))"
T15580E,20-25 µg/m³,"MULTILINESTRING ((2.1900855068333023 41.38199086689748, 2.190074532735938 41.38195093136299, 2.1904004325690476 41.38112762801694))"
T05513O,20-25 µg/m³,"MULTILINESTRING ((2.141705990848111 41.43172267918501, 2.142074148820752 41.43253946222734))"
T18106U,20-25 µg/m³,"MULTILINESTRING ((2.1747368132241713 41.43858718060291, 2.17458711900561 41.43860782444076, 2.1744448904473823 41.43857486425819, 2.174382729383913 41.43852202219215))"
T10513Z,15-20 µg/m³,"MULTILINESTRING ((2.1365994898359357 41.39418640752138, 2.1376282295630866 41.39444434503422))"
T08003J,20-25 µg/m³,"MULTILINESTRING ((2.160853772927848 41.407761856460475, 2.1605298919129488 41.40812429893477))"
T08191C,20-25 µg/m³,"MULTILINESTRING ((2.1513381975774277 41.400394209278666, 2.150996629052545 41.400663033180166))"
T12154E,20-25 µg/m³,"MULTILINESTRING ((2.1790325688174943 41.431445798014856, 2.17905414905326 41.43208176135641))"
T03596Z,25-30 µg/m³,"MULTILINESTRING ((2.160349595022826 41.37014129871047, 2.1605642711470248 41.37071804962254))"
T01157Y,20-25 µg/m³,"MULTILINESTRING ((2.1682398077240927 41.37824390410254, 2.1685922944248945 41.37800059773508))"
T08370D,20-25 µg/m³,"MULTILINESTRING ((2.1588348625108753 41.40990316649655, 2.1598772969739817 41.410465440095145))"
T18336G,15-20 µg/m³,"MULTILINESTRING ((2.1052765042050514 41.413928063204686, 2.1047687717357 41.41411853351787))"
T02967C,20-25 µg/m³,"MULTILINESTRING ((2.1419500622854812 41.372465473964034, 2.141772286292276 41.37235616685434, 2.141362319070433 41.372090937424815))"
T11770S,15-20 µg/m³,"MULTILINESTRING ((2.1027697540190697 41.41441971111964, 2.1021522118300595 41.414501710920355))"
T13639Y,25-30 µg/m³,"MULTILINESTRING ((2.1778847059478488 41.444819477861024, 2.1771372721631086 41.44518316379349, 2.1769513889459082 41.4452415453619, 2.1768392964016856 41.44538897934365))"
T10039U,20-25 µg/m³,"MULTILINESTRING ((2.217798817177053 41.41401263421068, 2.2183357519137425 41.414438407627244))"
T14220F,30-35 µg/m³,"MULTILINESTRING ((2.12251137714397 41.4074304680698, 2.1227412104230075 41.407654725728996))"
T01769U,20-25 µg/m³,"MULTILINESTRING ((2.159810411828332 41.38117438436259, 2.158560517010648 41.382133891957665))"
T20675V,25-30 µg/m³,"MULTILINESTRING ((2.176655442756336 41.374426524617256, 2.176770373567176 41.37425371679837, 2.17683790477657 41.37411199739256, 2.1768659173164098 41.37390927561833, 2.1768465168693893 41.373765340480034, 2.176809706846536 41.37365642833912, 2.1767590115737487 41.37355622630784))"
T13717V,25-30 µg/m³,"MULTILINESTRING ((2.1466525580790248 41.368084369023606, 2.1461853755716467 41.36783896357421, 2.1462724594853153 41.36709834209405, 2.1462725183101488 41.3670938387562))"
T04112X,25-30 µg/m³,"MULTILINESTRING ((2.145839187063443 41.34435032466016, 2.1438384590450217 41.34507051501025))"
T19157J,20-25 µg/m³,"MULTILINESTRING ((2.1577463624977122 41.42846478728918, 2.1577606569749745 41.42854320269242, 2.157729338120894 41.4286514954243, 2.157643896131702 41.42873686452545, 2.1575125716274903 41.4287932360986, 2.1574170446360985 41.42881710938393, 2.1573191185437515 41.42881639268851, 2.157234998698662 41.42879939240715, 2.157140147578066 41.4287700363408, 2.157064480372097 41.42873057917211, 2.1570071613625044 41.428667899962754))"
T11786A,15-20 µg/m³,"MULTILINESTRING ((2.110041720567957 41.40228418493882, 2.1100188378587363 41.402377848021125, 2.1094915531288905 41.40268237650481))"
T06669L,20-25 µg/m³,"MULTILINESTRING ((2.207485647414492 41.43718057370171, 2.2076470194124593 41.43720056399493))"
RL0049W,25-30 µg/m³,"MULTILINESTRING ((2.2093353092399566 41.43592814862679, 2.2093465479924648 41.435883989419615, 2.2093517593221574 41.435868802598094, 2.209372108404284 41.43580949309515, 2.2094370875306164 41.4356330327521, 2.209506603367633 41.435457504260086, 2.2095286786431836 41.43540388127689, 2.2095826909175225 41.435273013373894, 2.2096604503194364 41.43508880413066, 2.2097353310359114 41.43491493365114, 2.2098147461876634 41.434742175132264, 2.209873278687893 41.434623408097764, 2.209932407200094 41.43450482526968, 2.209991039307137 41.43438768019631, 2.210010052670813 41.43434961901116, 2.2100882950834495 41.43419450686532, 2.210177598305122 41.43402541889406, 2.2102709560307194 41.433857529627886, 2.2103583951798873 41.433703921557196, 2.210446072182373 41.433550405120855, 2.2105179229981773 41.43342523229828))"
