name,longitude,latitude
vivagym,2.1809441,41.4074127
,2.177976484367732,41.42461821695953
,2.177647375149862,41.42434051546777
,2.1775994016614453,41.425047295769545
,2.1775964980723277,41.42540022624354
,2.1779851653745244,41.42495456631658
,2.1780262824643972,41.42506224278815
,2.177654264056972,41.424113406735984
,2.175576192891617,41.41613130904215
,2.1753824390897534,41.41621019813007
,2.1853651789867774,41.42189268014361
,2.1728478755212692,41.42717294216708
,2.1693912123000927,41.421752325053234
,2.17652459364827,41.40708008158276
,2.1765653101543263,41.40711520167785
,2.1766068610566434,41.407144131617635
,2.176357124336283,41.40697999104251
,2.176403388822062,41.407012793926285
,2.176480668044375,41.407032323748865
,2.1774195578213495,41.40784891989753
