station_id,name,physical_configuration,lat,lon,altitude,address,cross_street,post_code,capacity,is_charging_station,short_name,nearby_distance,x_ride_code_support,rental_uris,is_valet_station,last_updated,ttl,V1
165,"C/ DEL DOCTOR TRUETA, 222",ELECTRICBIKESTATION,41.3992169,2.2041415,3,"C/ DEL DOCTOR TRUETA, 222",10-SantMartí/68-el Poblenou,8005,27,TRUE,165,1000,TRUE,NA,NA,1735686001,0,NA
166,"C/ BILBAO, 2",ELECTRICBIKESTATION,41.4008312,2.206645,3,"C/ BILBAO, 2",10-SantMartí/68-el Poblenou,8005,27,TRUE,166,1000,TRUE,NA,NA,1735686001,0,NA
167,"C/ BAC DE RODA, 11",ELECTRICBIKESTATION,41.4023354,2.2105777,3,"C/ BAC DE RODA, 11",10-SantMartí/68-el Poblenou,8005,21,TRUE,167,1000,TRUE,NA,NA,1735686001,0,NA
168,SELVA DE MAR / PG. DEL TAULAT,ELECTRICBIKESTATION,41.4053697,2.2135818,5,SELVA DE MAR / PG. DEL TAULAT,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,8019,27,TRUE,168,1000,TRUE,NA,NA,1735686001,0,NA
171,"AV. LITORAL, 172",ELECTRICBIKESTATION,41.3919877,2.2037136,5,"AV. LITORAL, 172",10-SantMartí/67-la Vila Olímpica del Poblenou,8005,54,TRUE,171,1000,TRUE,NA,NA,1735686001,0,NA
173,"AV.LITORAL, 84",ELECTRICBIKESTATION,41.3979002,2.2088454,8,"AV.LITORAL, 84",10-SantMartí/68-el Poblenou,8005,27,TRUE,173,1000,TRUE,NA,NA,1735686001,0,NA
174,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",ELECTRICBIKESTATION,41.400654,2.210191,6,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,8005,27,TRUE,174,1000,TRUE,NA,NA,1735686001,0,NA
175,"C/ LLULL, 309",ELECTRICBIKESTATION,41.4065291,2.2091221,4,"C/ LLULL, 309",10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,8019,27,TRUE,175,1000,TRUE,NA,NA,1735686001,0,NA
176,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",ELECTRICBIKESTATION,41.403216,2.2136,6,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,8019,31,TRUE,176,1000,TRUE,NA,NA,1735686001,0,NA
177,"C/ ROSSELLÓ, 557",ELECTRICBIKESTATION,41.4110754,2.1809764,33,"C/ ROSSELLÓ, 557",10-SantMartí/64-el Camp de l'Arpa del Clot,8026,38,TRUE,177,1000,TRUE,NA,NA,1735686001,0,NA
178,"PG. DE GARCIA FÀRIA, 85",ELECTRICBIKESTATION,41.4053649,2.2162094,7,"PG. DE GARCIA FÀRIA, 85",10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,8019,27,TRUE,178,1000,TRUE,NA,NA,1735686001,0,NA
179,"PG. ZONA FRANCA, 244",ELECTRICBIKESTATION,41.36352,2.1369015,9,"PG. ZONA FRANCA, 244",03-Sants-Montjuïc/13-la Marina de Port,8038,16,TRUE,179,1000,TRUE,NA,NA,1735686001,0,NA
182,"C/ SANT PERE D´ABANTO, 2",ELECTRICBIKESTATION,41.371366,2.143565,18,"C/ SANT PERE D´ABANTO, 2",03-Sants-Montjuïc/15-Hostafrancs,8014,33,TRUE,182,1000,TRUE,NA,NA,1735686001,0,NA
183,"C/ GAVÀ, 1",ELECTRICBIKESTATION,41.3723682,2.1419494,18,"C/ GAVÀ, 1",03-Sants-Montjuïc/16-la Bordeta,8014,30,TRUE,183,1000,TRUE,NA,NA,1735686001,0,NA
184,"C/ QUETZAL, 22-24",ELECTRICBIKESTATION,41.3675438,2.1342316,22,"C/ QUETZAL, 22-24",03-Sants-Montjuïc/16-la Bordeta,8014,27,TRUE,184,1000,TRUE,NA,NA,1735686001,0,NA
